transaction,announced,closed,type,role,target,buyer,seller,rounds,round_type,valuation_pre,valuation_post,ammount,raised,corporation
IQTR26934762,2006-04-26,2006-04-26,Merger/Acquisition,Seller,"Exxon Mobil, Greater Aneth Field","Navajo Nation Oil and Gas Company, Inc.; Resolute Natural Resources Company, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR34555925,2006-02-01,2006-02-01,Merger/Acquisition,Seller,Mobil Oil East Africa Ltd.,TOTAL Outre-Mer S.A.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,14000,0,Exxon
IQTR84202283,2006-01-02,2006-01-02,Merger/Acquisition,Seller,Quiamare-La Ceiba Oil Field,"Repsol YPF, S.A. (nka:Repsol, S.A. (BME:REP))",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR23810171,2005-09-05,,Merger/Acquisition,Seller,"Exxon Mobil Corp, Fuel and Lubricant Business in Africa",TOTAL S.A. (ENXTPA:FP),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR23697211,2005-08-24,2005-12-14,Merger/Acquisition,Seller,"Exxon Mobil Corp., 39 Service Stations in Poland",LOTOS Paliwa Sp. z o.o.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR22968769,2005-07-01,2005-07-01,Merger/Acquisition,Seller,"ExxonMobil Corporation, Producing Properties in Permian Basin of West Texas and New Mexico",XTO Energy Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,215000,0,Exxon
IQTR22450219,2005-05-19,2005-05-19,Merger/Acquisition,Seller,"ExxonMobil Corp., Certain West Texas Oil Assets in Permian Basin",Occidental Petroleum Corporation (NYSE:OXY),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,972000,0,Exxon
IQTR22383876,2005-05-13,,Merger/Acquisition,Seller,"ExxonMobil Corp., North Sea Prospects",Revus Energy ASA (nka:Wintershall Norge AS),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR20582367,2005-02-10,2005-02-10,Merger/Acquisition,Seller,"Exxon Mobil Corporation, High Island Block 196 Field",Capco Energy Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,4000,0,Exxon
IQTR13716953,2005-01-21,2005-05-05,Merger/Acquisition,Seller,"Exxon Mobil Corp., Five Refined Petroleum Products Pipeline System and Terminals","Buckeye Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,175000,0,Exxon
IQTR13388075,2004-12-21,2004-12-21,Merger/Acquisition,Seller,"Exxon Mobil Corp., South Texas Reserves",AXIO Natural Resources Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR13333281,2004-12-15,2004-12-15,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Escambia Creek Field And Gas Processing Facility",Vintage Petroleum Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,76400,0,Exxon
IQTR13239534,2004-11-30,2004-11-30,Merger/Acquisition,Seller,"ExxonMobil Corporation, West Delta 27 Field",Tammany Oil & Gas LLC,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR12366950,2004-10-26,2004-10-26,Merger/Acquisition,Seller,"Exxon Mobil Corp., Madura Strait Exploration Block",Husky Energy Inc. (TSX:HSE),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,50000,0,Exxon
IQTR11632419,2004-09-09,2004-09-09,Merger/Acquisition,Seller,"ExxonMobil Corp, Linden Terminal","Kaneb Pipe Line Partners, L.P. (nka:NuStar Pipeline Partners L.P.)",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR12342477,2004-05-06,2004-05-03,Merger/Acquisition,Seller,"ExxonMobil Corp., Properties in Permian Basin and Powder River Basin",XTO Energy Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,341000,0,Exxon
IQTR9880204,2004-05-06,2004-05-06,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Philadelphia Terminal","Kaneb Pipe Line Operating Partnership, L.P. (nka:NuStar Pipeline Operating Partnership L.P.)",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR24326488,2004-02-18,2004-03-31,Merger/Acquisition,Buyer,"BP plc, Isopropyl Alcohol Plant",Exxon Mobil Corporation (NYSE:XOM),BP PLC (LSE:BP.),0,,0,0,0,0,Exxon
IQTR8868983,2004-02-04,2004-03-09,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Seven Refined Petroleum Products Terminals","Kinder Morgan Energy Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,48100,0,Exxon
IQTR7861095,2003-11-20,2003-11-20,Merger/Acquisition,Buyer,"Edison Gas S.p.A., North Adriatic Liquefied Natural Gas Terminal Project",Exxon Mobil Corporation (NYSE:XOM); Qatar Petroleum,Edison Gas S.p.A,0,,0,0,0,0,Exxon
IQTR6801209,2003-08-28,2003-08-31,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Paulsboro Refined Products Terminal",Valero L.P. (nka:NuStar Energy L.P. (NYSE:NS)),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,14000,0,Exxon
IQTR2535872,2002-07-03,2003-03-07,Merger/Acquisition,Seller,Ruhrgas AG (nka:E.ON Ruhrgas AG),E.ON AG (nka:E.ON SE (XTRA:EOAN)),Exxon Mobil Corporation (NYSE:XOM); Royal Dutch Shell plc (ENXTAM:RDSA); TUI AG (XTRA:TUI1),0,,0,0,4778500,0,Exxon
IQTR11751422,2002-05-02,2002-11-13,Merger/Acquisition,Seller,Anglo American Sur S.A.,Anglo American plc (LSE:AAL),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,1300000,0,Exxon
IQTR26841057,2002-02-01,2002-05-01,Merger/Acquisition,Seller,Carbones del Cerrejon Limited,Anglo Coal Limited; BHP Billiton Group (nka:BHP Group (ASX:BHP)); Glencore International AG (nka:Glencore plc (LSE:GLEN)),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR1445028,2001-12-27,2001-12-27,Merger/Acquisition,Seller,"Exxon Mobil, Oregon Terminal",NuStar Terminals Operations Partnership L.P.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR6686382,2000-12-26,2000-12-26,Merger/Acquisition,Seller,"ExxonMobil Corporation, Ship Shoal Block 72 Field","PetroQuest Energy, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,7100,0,Exxon
IQTR23351127,2000-08-14,,Buyback,Target,Exxon Mobil Corporation (NYSE:XOM),,,0,,0,0,0,0,Exxon
IQTR10360083,2000-06-01,2000-06-30,Merger/Acquisition,Seller,Sharon Ridge Unit,"Kinder Morgan CO2 Company, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR12171665,2000-05-12,2000-12-31,Merger/Acquisition,Seller,"Exxon Mobil Corp., Jet Turbine Oil Lubricants Business",BP Amoco plc (nka:BP PLC (LSE:BP.)),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR10125608,2000-04-03,,Merger/Acquisition,Seller,Norsk Hydro Energie Marketing B.V.,"Duke Energy International, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,230000,0,Exxon
IQTR10175157,2000-03-02,2000-05-15,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Benicia Refinery and Retail Assets",Valero Energy Corporation (NYSE:VLO),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,895000,0,Exxon
IQTR10916114,1999-12-02,2000-02-29,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 1,740 Northeast and Mid-Atlantic Service Stations",Tosco Corporation,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,860000,0,Exxon
IQTR10317147,1999-12-01,2000-03-01,Merger/Acquisition,Seller,"Exxon Mobil Corp., East Coast Retail Systems",Tosco Corporation,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,860000,0,Exxon
IQTR11753408,1999-05-17,1999-05-17,Merger/Acquisition,Seller,"Exxon Corporation, Oil and Gas Properties",Future Petroleum Company LLC,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,10000,0,Exxon
IQTR12532573,1999-01-25,1999-03-01,Merger/Acquisition,Buyer,30 Deepwater Blocks,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),Conoco Inc.,0,,0,0,0,0,Exxon
IQTR12532640,1999-01-25,1999-03-01,Merger/Acquisition,Seller,29 Deepwater Blocks,Conoco Inc.,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,0,0,Exxon
IQTR11501945,1998-12-01,1999-11-30,Merger/Acquisition,Buyer,Mobil Corporation,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),,0,,0,0,85640070,0,Exxon
IQTR13591636,1998-03-01,1998-03-01,Merger/Acquisition,Seller,"Exxon Corp., Flame Retardant Plastic Compounds Business",M.A. Hanna Company,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,0,0,Exxon
IQTR34619340,1997-05-13,,Buyback,Target,Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),,,0,,0,0,6348000,0,Exxon
IQTR460893,1989-06-14,1989-06-14,Merger/Acquisition,Seller,"Zilog, Inc.","E.M. Warburg Pincus & Co. (nka:Warburg Pincus LLC) Buyer Funds: Warburg Pincus Capital Company, L.P.",Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,49000,0,Exxon
IQTR6021703,1986-12-31,1986-12-31,Merger/Acquisition,Seller,Gilbarco Inc.,"BancBoston Capital, Inc.; Citicorp Capital Investors (nka:Court Square Capital Partners, L.P.)",Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,0,0,Exxon
IQTR6034274,1986-12-11,1986-12-30,Merger/Acquisition,Seller,Reliance Electric Co.,"Citicorp Capital Investors (nka:Court Square Capital Partners, L.P.); Prudential Bache Securities, Inc. (nka:Prudential Equity Group, LLC)",Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM)),0,,0,0,1350000,0,Exxon
IQTR647769799,2019-12-11,,Private Placement,Buyer,63Ideas Infolabs Private Limited,Flipkart Online Services Pvt. Ltd.; Walmart Inc. (NYSE:WMT),,9,Venture,0,0,0,144070,Walmart
IQTR640584195,2019-10-15,2019-10-15,Private Placement,Buyer,Level Home Inc.,Hut 8 Ventures Management LLC; Lennar Corporation (NYSE:LEN); Walmart Inc. (NYSE:WMT),,1,Venture,0,0,71000,71000,Walmart
IQTR604283954,2019-02-26,2019-02-25,Merger/Acquisition,Buyer,Aspectiva Ltd.,Walmart Inc. (NYSE:WMT),,0,,0,0,0,0,Walmart
IQTR594098199,2018-12-06,2018-12-31,Merger/Acquisition,Buyer,Art.com Inc.,Walmart Inc. (NYSE:WMT),"Polaris Partners; Saints Capital Services, LLC",0,,0,0,0,0,Walmart
IQTR586665934,2018-10-12,2018-10-12,Merger/Acquisition,Buyer,"BareWeb, Inc.",Walmart Inc. (NYSE:WMT),,0,,0,0,0,0,Walmart
IQTR584974096,2018-10-02,2018-12-31,Merger/Acquisition,Buyer,"ELOQUII Design, Inc.",Walmart Inc. (NYSE:WMT),FJ Labs; Greycroft Partners LLC,0,,0,0,0,0,Walmart
IQTR579436216,2018-08-30,2018-08-30,Merger/Acquisition,Seller,12 Walmart stores in Argentina,"Distribuidora Internacional de Alimentación, S.A. (BME:DIA)",Walmart Inc. (NYSE:WMT),0,,0,0,0,0,Walmart
IQTR576836650,2018-08-09,2018-08-09,Private Placement,Buyer,Daojia Meishihui,"JD.com, Inc. (NasdaqGS:JD); Walmart Inc. (NYSE:WMT)",,6,Growth,0,0,500000,554000,Walmart
IQTR569756508,2018-06-04,2018-08-01,Merger/Acquisition,Seller,WMS Supermercados do Brasil Ltda.,Advent International Corporation,Walmart Inc. (NYSE:WMT),0,,0,0,250000,0,Walmart
IQTR563483103,2018-05-09,2018-08-18,Merger/Acquisition,Buyer,Flipkart Private Limited,Walmart Inc. (NYSE:WMT),"Accel Partners; C.Y.C., S.A.; DST Global; eBay Inc. (NasdaqGS:EBAY); Fidelity Investments; Fidelity Rutland Square Trust II - Strategic Advisers Growth Fund (MutualFund:FSGF.X); Helion Venture Partners, LLC; Inversiones Mobiliarias Y Desarrollo S.A.; Morgan Stanley Institutional Fund Trust - Mid Cap Growth Portfolio (nka:Morgan Stanley Institutional Fund Trust - Discovery Portfolio (MutualFund:MACG.X)); Morgan Stanley Institutional Fund, Inc. - Global Discovery Portfolio; Morgan Stanley Institutional Fund, Inc. - International Opportunity Portfolio (MutualFund:MIOL.X); Morgan Stanley Institutional Fund, Inc. - Small Company Growth Portfolio (nka:Morgan Stanley Institutional Fund, Inc. - Inception Portfolio (MutualFund:MSSM.X)); Morgan Stanley Investment Management Inc.; Naspers Limited (JSE:NPN); Qatar Investment Authority; Sofina Société Anonyme (ENXTBR:SOF); SoftBank Investment Advisers (UK) Limited; Steadview Capital Management LLC; Strategic Advisers, Inc; The Vanguard Group, Inc. Seller Funds: SoftBank Vision Fund L.P.",0,,0,0,16000000,0,Walmart
IQTR554115467,2018-02-26,2018-02-26,Private Placement,Buyer,JFFLabs,Walmart Inc. (NYSE:WMT),,1,Venture,0,0,3000,3000,Walmart
IQTR540152391,2017-10-10,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,20000000,0,Walmart
IQTR539429610,2017-10-03,2017-09-29,Merger/Acquisition,Buyer,Parcel Inc.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Great Oaks Venture Capital LLC,0,,0,0,0,0,Walmart
IQTR434528369,2017-06-16,2017-06-30,Merger/Acquisition,Buyer,"Bonobos, Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Coppel Capital, S.A. de C.V.; Felicis Ventures; Forerunner Ventures; Glynn Capital Management; Lightspeed Venture Partners; Mousse Partners; Nordstrom, Inc. (NYSE:JWN); Otter Rock Capital; Peterson Ventures, LLC; Signatures Capital, LLC; Westech Investment Advisors, LLC Seller Funds: Forerunner Partners I L.P.",0,,0,0,310000,0,Walmart
IQTR406460402,2016-10-20,,Private Placement,Buyer,New Dada,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,4,Venture,0,0,50000,450000,Walmart
IQTR379317955,2016-08-08,2016-09-19,Merger/Acquisition,Buyer,"Jet.com, Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Alibaba Capital Partners; Bain Capital Ventures; Citi Ventures, Inc.; Coatue Management, L.L.C.; Fidelity Investments; Forerunner Ventures; General Catalyst Partners; GV; MentorTech Ventures; New Enterprise Associates, Inc.; Norwest Venture Partners; Primary Venture Partners; Silicon Valley BancVentures, Inc.; SVB Silicon Valley Bank, Investment Arm; Temasek Holdings (Private) Limited; Thrive Capital; West Street Capital Partners; Westech Investment Advisors, LLC Seller Funds: Forerunner Partners II, L.P.",0,,0,0,3300000,0,Walmart
IQTR367041276,2016-06-20,2016-06-20,Merger/Acquisition,Seller,"Niuhai E-commerce (Shanghai) Co., Ltd.","JD.com, Inc. (NasdaqGS:JD)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,2917890,0,Walmart
IQTR365882370,2016-06-15,2016-06-30,Merger/Acquisition,Seller,"Wal-Mart Stores, Inc., 25 Walmart Express Stores",Brookshire Grocery Company,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,0,0,Walmart
IQTR342436586,2016-05-19,2016-05-19,Merger/Acquisition,Seller,5.3 acres of land in Southern California,"Evergreen Devco, Inc.; Trachman Indevco, LLC","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,0,0,Walmart
IQTR318218475,2015-11-18,,Merger/Acquisition,Buyer,21 Wal Mart Stores,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","China Resources SZITIC Trust Co., Ltd",0,,0,0,516929,0,Walmart
IQTR314088641,2015-10-14,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,17800000,0,Walmart
IQTR307426973,2015-07-23,2015-07-23,Merger/Acquisition,Buyer,"Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)",0,,0,0,760000,0,Walmart
IQTR285554844,2015-02-17,2015-02-17,Merger/Acquisition,Seller,A Plot of Land Located 75 miles Northwest of Atlanta,Sansone Group LLC,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,830,0,Walmart
IQTR268844086,2014-06-30,2014-06-30,Private Placement,Buyer,Walmart India Pvt.Ltd.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,3,Growth,0,0,103280,351380,Walmart
IQTR269896992,2014-04-07,2014-04-07,Private Placement,Buyer,Walmart India Pvt.Ltd.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,2,Growth,0,0,220930,248100,Walmart
IQTR261769179,2014-03-26,2014-05-23,Merger/Acquisition,Buyer,"Simplexity, LLC","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Versa Capital Management, LLC",0,,0,0,10240,0,Walmart
IQTR340104692,2014-01-30,2014-01-30,Merger/Acquisition,Seller,60-Acre Parcel Adjacent to Hollywood Park and Forum,The Kroenke Group,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,0,0,Walmart
IQTR256116362,2014-01-30,2014-01-13,Merger/Acquisition,Seller,"Wal-Mart Stores Inc., 60-Acre Parking Lot in Inglewood",,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,0,0,Walmart
IQTR247963440,2013-10-09,2014-03-21,Merger/Acquisition,Buyer,Bharti Walmart Private Limited (nka:Walmart India Pvt.Ltd.),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Bharti Enterprises Limited,0,,0,0,100000,0,Walmart
IQTR241461077,2013-06-07,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,6417570,0,Walmart
IQTR237432094,2013-04-23,2013-03-31,Merger/Acquisition,Buyer,11.6 Acre Parcel,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Ramco-Gershenson Properties Trust (nka:RPT Realty (NYSE:RPT)),0,,0,0,0,0,Walmart
IQTR171081741,2012-02-19,2012-02-29,Private Placement,Buyer,"Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,1,Growth,0,0,0,0,Walmart
IQTR145594356,2012-01-03,2012-01-03,Merger/Acquisition,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,Stichting Pensioenfonds ABP,0,,0,0,0,0,Walmart
IQTR145426705,2011-12-16,2011-12-16,Merger/Acquisition,Seller,"Wal-Mart Stores Inc., Site at Barra da Tijuca",Multiplan Empreendimentos Imobiliários S.A. (BOVESPA:MULT3),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,124730,0,Walmart
IQTR142824449,2011-11-10,2011-11-10,Merger/Acquisition,Buyer,Grabble Pty Ltd.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",500 Startups; Startmate,0,,0,0,0,0,Walmart
IQTR138619403,2011-07-26,2011-07-26,Private Placement,Buyer,Bharti Walmart Private Limited (nka:Walmart India Pvt.Ltd.),"Bharti Enterprises Limited; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,1,Venture,0,0,27170,27170,Walmart
IQTR140006887,2011-07-14,2011-06-30,Merger/Acquisition,Buyer,Baytown Distribution Center,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Texas Education Agency, Endowment Arm Seller Funds: Texas Permanent School Fund",0,,0,0,104500,0,Walmart
IQTR133852239,2011-06-03,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,14288000,0,Walmart
IQTR132705810,2011-05-13,2011-09-30,Merger/Acquisition,Buyer,"Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)",0,,0,0,65000,0,Walmart
IQTR130272815,2011-04-18,,Merger/Acquisition,Buyer,"Kosmix Corporation (nka:WalmartLabs, Inc.)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Cambrian Ventures, Inc.; DAG Ventures, LLC; Lightspeed Venture Partners; Time Warner Investments (nka:WarnerMedia Investments) Seller Funds: Lightspeed Venture Partners VI, L.P.",0,,0,0,300000,0,Walmart
IQTR118892473,2011-01-26,2011-01-26,Merger/Acquisition,Seller,"Wal-Mart Stores Inc., A Big-Box Retail Center at Highway 111 in La Quinta","Barker Pacific Group, Inc.; Urdang Capital Management Inc. (nka:CenterSquare Investment Management Holdings, Inc.) Buyer Funds: Urdang Value-Added Fund II, L.P.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,7260,0,Walmart
IQTR117533586,2010-12-23,2011-04-01,Private Placement,Buyer,"360Buy Jingdong Inc. (nka:JD.com, Inc. (NasdaqGS:JD))","CITIC Private Equity Funds Management Co., Ltd.; DST Global; Hillhouse Capital Management, Ltd.; Sequoia Capital China; The Tiger Fund; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT)) Buyer Funds: DST Global II",,5,Venture,8500000,10000000,1500000,1681000,Walmart
IQTR113814015,2010-09-27,2011-06-20,Merger/Acquisition,Buyer,Massmart Holdings Limited (JSE:MSM),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,0,,0,0,2240110,0,Walmart
IQTR107134571,2010-06-04,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,13070870,0,Walmart
IQTR98561121,2010-02-22,,Merger/Acquisition,Buyer,"VUDU, Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Benchmark; Greylock Partners,0,,0,0,0,0,Walmart
IQTR82513630,2009-12-06,2010-02-16,Merger/Acquisition,Seller,WalMart Centroamérica,"Wal-Mart de México, S.A.B. de C.V. (BMV:WALMEX *)","La Fragua, S.A.; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,2807630,0,Walmart
IQTR59614686,2009-09-09,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,10153120,0,Walmart
IQTR38326481,2007-11-29,2007-12-04,Merger/Acquisition,Buyer,Seiyu GK,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Credit Saison Co., Ltd. (TSE:8253); Mizuho Corporate Bank, Ltd. (nka:Mizuho Bank, Ltd.); Sumitomo Corporation (TSE:8053)",0,,0,0,896560,0,Walmart
IQTR143537164,2007-09-30,2007-09-30,Merger/Acquisition,Buyer,25 Acres of Land Around Rinconada Boulevard and Northrise Drive in Las Cruces,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Alameda Property Group, LLC",0,,0,0,0,0,Walmart
IQTR34674155,2007-09-10,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,11600000,0,Walmart
IQTR32850851,2007-02-26,2007-02-26,Merger/Acquisition,Buyer,Trust-Mart Co. Ltd.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,0,,0,0,264000,0,Walmart
IQTR36335534,2006-07-28,2006-10-25,Merger/Acquisition,Seller,Wal-Mart (Germany) GmbH & Co KG,METRO AG (nka:Ceconomy AG (XTRA:CEC)),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,0,0,Walmart
IQTR27307769,2006-05-22,,Merger/Acquisition,Seller,"Wal-Mart Stores, Inc., South Korean Retail Business",Shinsegae Inc. (KOSE:A004170),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,867080,0,Walmart
IQTR26361603,2006-03-15,2006-03-15,Merger/Acquisition,Buyer,WalMart Centroamérica,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Corporación de Supermercados Unidos S.A.; La Fragua, S.A.",0,,0,0,0,0,Walmart
IQTR25119126,2005-12-14,2005-12-14,Merger/Acquisition,Buyer,Walmart Brasil Ltda.,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Modelo Investimentos Brasil, S.A. (nka:HiperCard Investimentos Ltda)",0,,0,0,764780,0,Walmart
IQTR24161272,2005-09-30,,Private Placement,Buyer,Seiyu GK,"Mizuho Capital Co., Ltd.; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,5,PIPE,0,0,979470,1714460,Walmart
IQTR23941622,2005-09-20,2005-09-20,Merger/Acquisition,Buyer,CARHCO N.V. (nka:WalMart Centroamérica),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Koninklijke Ahold N.V. (nka:Koninklijke Ahold Delhaize N.V. (ENXTAM:AD)),0,,0,0,0,0,Walmart
IQTR32427495,2005-09-20,2005-09-20,Merger/Acquisition,Buyer,Paiz Ahold,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Koninklijke Ahold N.V. (nka:Koninklijke Ahold Delhaize N.V. (ENXTAM:AD)),0,,0,0,0,0,Walmart
IQTR11885963,2004-09-29,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,6844810,0,Walmart
IQTR9193874,2004-03-01,2004-03-01,Merger/Acquisition,Buyer,Bompreco S.A. Supermercados do Nordeste,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",Koninklijke Ahold N.V. (nka:Koninklijke Ahold Delhaize N.V. (ENXTAM:AD)),0,,0,0,300000,0,Walmart
IQTR8319617,2004-01-05,,Buyback,Target,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,0,,0,0,4637800,0,Walmart
IQTR28073755,2003-08-12,,Private Placement,Buyer,Seiyu GK,"Merrill Lynch Investment Managers Limited (nka:BlackRock Investment Management (UK) Limited); SPARX Asset Management Co., Ltd.; Sumitomo Corporation (TSE:8053); Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,4,PIPE,0,0,70780,734980,Walmart
IQTR5478523,2003-05-01,2003-05-23,Merger/Acquisition,Seller,"McLane Company, Inc.",Berkshire Hathaway Inc. (NYSE:BRK.A),"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",0,,0,0,1500000,0,Walmart
IQTR12144046,2002-12-12,2002-12-27,Private Placement,Buyer,Seiyu GK,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,3,Growth,0,0,434120,664210,Walmart
